"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","createValidBookExpiredTokenTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Book API Test - Create Book","com.bookstore.api.tests.book.CreateBookTest","createValidBookExpiredTokenTest"
"","62","deleteBookTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:18 IST 2025","passed","Sun Jul 27 20:25:18 IST 2025","com.bookstore.api.tests.book.DeleteBookTest","Book API Test - Delete Book","com.bookstore.api.tests.book.DeleteBookTest","deleteBookTest"
"CreateBook the Book... ","73","createABookTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Book API Test - Create Book","com.bookstore.api.tests.book.CreateBookTest","createABookTest"
"CreateBook the Book... ","41","createABookDataDrivenTest","Default suite","Sat Jul 26 07:00:51 IST 2025","broken","Sat Jul 26 07:00:51 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Default test","com.bookstore.api.tests.book.CreateBookTest","createABookDataDrivenTest"
"","20","getBookSchemaTest","FAST-API: BookStore API – Regression Test Suite","Fri Jul 25 23:01:43 IST 2025","passed","Fri Jul 25 23:01:43 IST 2025","com.bookstore.api.schema.tests.BookSchemaTest","Schema Validation Test","com.bookstore.api.schema.tests.BookSchemaTest","getBookSchemaTest"
"Getting the Book from Test Data... ","14","getABookTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:17 IST 2025","passed","Sun Jul 27 20:25:17 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getABookTest"
"","110","updateBookTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:18 IST 2025","passed","Sun Jul 27 20:25:18 IST 2025","com.bookstore.api.tests.book.UpdateBookTest","Book API Test - Update Book","com.bookstore.api.tests.book.UpdateBookTest","updateBookTest"
"","27","getBookNoAuth","FAST-API: BookStore API – Regression Test Suite","Fri Jul 25 23:01:40 IST 2025","passed","Fri Jul 25 23:01:40 IST 2025","com.bookstore.api.tests.book.GetBookTest","Book API Test - Get Book","com.bookstore.api.tests.book.GetBookTest","getBookNoAuth"
"","15","deleteBookInvalidAlphaNumericTest","FAST-API: BookStore API – Regression Test Suite","Sun Jul 27 20:25:18 IST 2025","passed","Sun Jul 27 20:25:18 IST 2025","com.bookstore.api.tests.book.DeleteBookTest","Book API Test - Delete Book","com.bookstore.api.tests.book.DeleteBookTest","deleteBookInvalidAlphaNumericTest"
"","33","createABookTestInvalidPayload","FAST-API: BookStore API – Regression Test Suite","Fri Jul 25 23:01:40 IST 2025","passed","Fri Jul 25 23:01:40 IST 2025","com.bookstore.api.tests.book.CreateBookTest","Book API Test - Create Book","com.bookstore.api.tests.book.CreateBookTest","createABookTestInvalidPayload"
